,Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
0,0,67,male,2,own,,little,1169,6,radio/TV,Good
1,1,22,female,2,own,little,moderate,5951,48,radio/TV,Bad
2,2,49,male,1,own,little,,2096,12,education,Good
3,3,45,male,2,free,little,little,7882,42,furniture/equipment,Good
4,4,53,male,2,free,little,little,4870,24,car,Bad
5,5,35,male,1,free,,,9055,36,education,Good
6,6,53,male,2,own,quite rich,,2835,24,furniture/equipment,Good
7,7,35,male,3,rent,little,moderate,6948,36,car,Good
8,8,61,male,1,own,rich,,3059,12,radio/TV,Good
9,9,28,male,3,own,little,moderate,5234,30,car,Bad
10,10,25,female,2,rent,little,moderate,1295,12,car,Bad
11,11,24,female,2,rent,little,little,4308,48,business,Bad
12,12,22,female,2,own,little,moderate,1567,12,radio/TV,Good
13,13,60,male,1,own,little,little,1199,24,car,Bad
14,14,28,female,2,rent,little,little,1403,15,car,Good
15,15,32,female,1,own,moderate,little,1282,24,radio/TV,Bad
16,16,53,male,2,own,,,2424,24,radio/TV,Good
17,17,25,male,2,own,,little,8072,30,business,Good
18,18,44,female,3,free,little,moderate,12579,24,car,Bad
19,19,31,male,2,own,quite rich,,3430,24,radio/TV,Good
20,20,48,male,2,own,little,,2134,9,car,Good
21,21,44,male,2,rent,quite rich,little,2647,6,radio/TV,Good
22,22,48,male,1,rent,little,little,2241,10,car,Good
23,23,44,male,2,own,moderate,moderate,1804,12,car,Good
24,24,26,male,2,own,,,2069,10,furniture/equipment,Good
25,25,36,male,1,own,little,little,1374,6,furniture/equipment,Good
26,26,39,male,1,own,little,,426,6,radio/TV,Good
27,27,42,female,2,rent,rich,rich,409,12,radio/TV,Good
28,28,34,male,2,own,little,moderate,2415,7,radio/TV,Good
29,29,63,male,2,own,little,little,6836,60,business,Bad
30,30,36,male,2,own,rich,moderate,1913,18,business,Good
31,31,27,male,2,own,little,little,4020,24,furniture/equipment,Good
32,32,30,male,2,own,moderate,moderate,5866,18,car,Good
33,33,57,male,1,rent,,,1264,12,business,Good
34,34,33,female,3,own,little,rich,1474,12,furniture/equipment,Good
35,35,25,male,1,own,little,moderate,4746,45,radio/TV,Bad
36,36,31,male,2,free,little,,6110,48,education,Good
37,37,37,male,2,own,little,rich,2100,18,radio/TV,Bad
38,38,37,male,2,own,little,rich,1225,10,domestic appliances,Good
39,39,24,male,2,own,little,moderate,458,9,radio/TV,Good
40,40,30,male,3,own,quite rich,,2333,30,radio/TV,Good
41,41,26,male,2,own,quite rich,moderate,1158,12,radio/TV,Good
42,42,44,male,1,own,little,moderate,6204,18,repairs,Good
43,43,24,male,2,rent,moderate,little,6187,30,car,Good
44,44,58,female,1,free,little,little,6143,48,car,Bad
45,45,35,female,3,own,little,,1393,11,car,Good
46,46,39,male,2,own,quite rich,,2299,36,radio/TV,Good
47,47,23,female,0,rent,quite rich,little,1352,6,car,Good
48,48,39,male,1,own,little,,7228,11,car,Good
49,49,28,female,2,own,moderate,,2073,12,radio/TV,Good
50,50,29,male,1,own,,moderate,2333,24,furniture/equipment,Good
51,51,30,male,3,own,little,moderate,5965,27,car,Good
52,52,25,male,2,own,little,,1262,12,radio/TV,Good
53,53,31,male,2,own,,,3378,18,car,Good
54,54,57,male,2,free,little,moderate,2225,36,car,Bad
55,55,26,male,1,own,,,783,6,car,Good
56,56,52,male,3,own,,moderate,6468,12,radio/TV,Bad
57,57,31,female,2,own,little,,9566,36,radio/TV,Good
58,58,23,female,3,own,little,rich,1961,18,car,Good
59,59,23,female,1,rent,little,little,6229,36,furniture/equipment,Bad
60,60,27,male,2,own,little,moderate,1391,9,business,Good
61,61,50,male,2,own,,moderate,1537,15,radio/TV,Good
62,62,61,male,3,free,little,moderate,1953,36,business,Bad
63,63,25,male,2,own,little,moderate,14421,48,business,Bad
64,64,26,female,2,own,little,,3181,24,radio/TV,Good
65,65,48,male,2,own,,,5190,27,repairs,Good
66,66,29,female,2,own,little,,2171,12,radio/TV,Good
67,67,22,male,2,own,rich,moderate,1007,12,car,Good
68,68,37,male,2,free,little,,1819,36,education,Bad
69,69,25,female,2,own,,,2394,36,radio/TV,Good
70,70,30,female,2,own,little,,8133,36,car,Good
71,71,46,male,1,rent,,,730,7,radio/TV,Good
72,72,51,male,3,free,little,little,1164,8,vacation/others,Good
73,73,41,female,1,own,little,moderate,5954,42,business,Good
74,74,40,male,3,own,,little,1977,36,education,Bad
75,75,66,male,3,free,little,little,1526,12,car,Good
76,76,34,male,2,own,little,little,3965,42,radio/TV,Bad
77,77,51,male,2,own,little,moderate,4771,11,radio/TV,Good
78,78,39,male,1,own,,,9436,54,car,Good
79,79,22,male,2,own,little,moderate,3832,30,furniture/equipment,Good
80,80,44,female,2,own,,,5943,24,radio/TV,Bad
81,81,47,male,2,own,quite rich,,1213,15,radio/TV,Good
82,82,24,female,1,rent,moderate,,1568,18,business,Good
83,83,58,female,1,own,little,little,1755,24,vacation/others,Good
84,84,52,male,1,own,little,little,2315,10,radio/TV,Good
85,85,29,female,3,own,little,,1412,12,business,Good
86,86,27,female,2,own,little,moderate,1295,18,furniture/equipment,Good
87,87,47,male,2,free,moderate,moderate,12612,36,education,Bad
88,88,30,male,3,own,moderate,little,2249,18,car,Good
89,89,28,male,2,own,little,little,1108,12,repairs,Bad
90,90,56,male,2,own,little,,618,12,radio/TV,Good
91,91,54,male,2,own,little,little,1409,12,car,Good
92,92,33,female,1,own,,,797,12,radio/TV,Bad
93,93,20,male,2,rent,,rich,3617,24,furniture/equipment,Good
94,94,54,male,2,own,rich,moderate,1318,12,car,Good
95,95,58,male,2,rent,little,moderate,15945,54,business,Bad
96,96,61,female,2,own,,,2012,12,education,Good
97,97,34,male,2,own,moderate,moderate,2622,18,business,Good
98,98,36,male,2,own,little,moderate,2337,36,radio/TV,Good
99,99,36,male,3,rent,,moderate,7057,20,car,Good
100,100,41,male,1,rent,moderate,,1469,24,car,Good
101,101,24,male,2,rent,little,moderate,2323,36,radio/TV,Good
102,102,24,female,2,own,little,,932,6,radio/TV,Good
103,103,35,male,2,rent,little,moderate,1919,9,furniture/equipment,Good
104,104,26,male,2,rent,,,2445,12,car,Good
105,105,39,male,3,own,little,moderate,11938,24,vacation/others,Bad
106,106,39,male,3,own,little,,6458,18,car,Bad
107,107,32,male,2,own,little,moderate,6078,12,car,Good
108,108,30,female,2,own,,little,7721,24,furniture/equipment,Good
109,109,35,male,2,own,quite rich,moderate,1410,14,business,Good
110,110,31,male,2,own,moderate,moderate,1449,6,business,Good
111,111,23,female,2,rent,little,rich,392,15,education,Good
112,112,28,male,1,rent,little,moderate,6260,18,car,Good
113,113,25,female,2,own,little,,7855,36,car,Bad
114,114,35,male,2,own,quite rich,little,1680,12,radio/TV,Good
115,115,47,male,2,own,,,3578,48,radio/TV,Good
116,116,30,female,3,own,,little,7174,42,radio/TV,Bad
117,117,27,female,2,rent,,little,2132,10,furniture/equipment,Good
118,118,23,female,2,own,quite rich,little,4281,33,furniture/equipment,Bad
119,119,36,male,3,own,quite rich,moderate,2366,12,car,Good
